更新时间: 2026-06-07 19:30:27（北京时间）

更新时间,#genre#
2026-06-07 19:30:27,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://123.60.75.150:540/udp/239.45.1.21:5140$上海市电信
CCTV1,http://123.60.75.150:540/udp/239.45.3.145:5140$上海市电信
CCTV1,http://39.77.75.225:4000/udp/239.253.254.77:8000$山东联通
CCTV2,http://123.60.75.150:540/udp/239.45.0.1:5140$上海市电信
CCTV2,http://123.60.75.150:540/udp/239.45.3.208:5140$上海市电信
CCTV2,http://39.77.75.225:4000/udp/239.253.254.232:8000$山东联通
CCTV3,http://123.60.75.150:540/udp/239.45.1.68:5140$上海市电信
CCTV3,http://39.77.75.225:4000/udp/239.253.254.191:8000$山东联通
CCTV4,http://123.60.75.150:540/udp/239.45.0.2:5140$上海市电信
CCTV4,http://39.77.75.225:4000/udp/239.253.254.187:8000$山东联通
CCTV5,http://123.60.75.150:540/udp/239.45.1.69:5140$上海市电信
CCTV5,http://123.60.75.150:540/udp/239.45.0.34:5140$上海市电信
CCTV5,http://39.77.75.225:4000/udp/239.253.254.192:8000$山东联通
CCTV5+,http://39.77.75.225:4000/udp/239.253.254.80:8000$山东联通
CCTV6,http://123.60.75.150:540/udp/239.45.1.70:5140$上海市电信
CCTV6,http://39.77.75.225:4000/udp/239.253.254.193:8000$山东联通
CCTV7,http://123.60.75.150:540/udp/239.45.3.56:5140$上海市电信
CCTV7,http://39.77.75.225:4000/udp/239.253.254.233:8000$山东联通
CCTV8,http://123.60.75.150:540/udp/239.45.1.71:5140$上海市电信
CCTV8,http://39.77.75.225:4000/udp/239.253.254.194:8000$山东联通
CCTV9,http://123.60.75.150:540/udp/239.45.3.4:5140$上海市电信
CCTV9,http://39.77.75.225:4000/udp/239.253.254.79:8000$山东联通
CCTV10,http://123.60.75.150:540/udp/239.45.3.8:5140$上海市电信
CCTV10,http://39.77.75.225:4000/udp/239.253.254.234:8000$山东联通
CCTV11,http://123.60.75.150:540/udp/239.45.0.18:5140$上海市电信
CCTV11,http://39.77.75.225:4000/udp/239.253.254.169:8000$山东联通
CCTV12,http://123.60.75.150:540/udp/239.45.3.10:5140$上海市电信
CCTV12,http://123.60.75.150:540/udp/239.45.3.124:5140$上海市电信
CCTV12,http://39.77.75.225:4000/udp/239.253.254.235:8000$山东联通
CCTV13,http://123.60.75.150:540/udp/239.45.0.19:5140$上海市电信
CCTV13,http://39.77.75.225:4000/udp/239.253.254.175:8000$山东联通
CCTV14,http://123.60.75.150:540/udp/239.45.3.125:5140$上海市电信
CCTV14,http://123.60.75.150:540/udp/239.45.3.23:5140$上海市电信
CCTV14,http://39.77.75.225:4000/udp/239.253.254.236:8000$山东联通
CCTV15,http://123.60.75.150:540/udp/239.45.0.20:5140$上海市电信
CCTV15,http://123.60.75.150:540/udp/239.45.3.126:5140$上海市电信
CCTV15,http://39.77.75.225:4000/udp/239.253.254.170:8000$山东联通
CCTV16,http://123.60.75.150:540/udp/239.45.0.10:5140$上海市电信
CCTV16,http://123.60.75.150:540/udp/233.18.204.114:5140$上海市电信
CCTV16,http://123.60.75.150:540/udp/233.18.204.215:5140$上海市电信
CCTV16,http://123.60.75.150:540/udp/239.45.0.12:5140$上海市电信
CCTV17,http://123.60.75.150:540/udp/239.45.3.251:5140$上海市电信
CCTV17,http://123.60.75.150:540/udp/239.45.3.52:5140$上海市电信
CCTV17,http://39.77.75.225:4000/udp/239.253.254.168:8000$山东联通
CCTV4K,http://123.60.75.150:540/udp/233.18.204.188:5140$上海市电信
兵器科技,http://123.60.75.150:540/udp/239.45.0.45:5140$上海市电信
兵器科技,http://123.60.75.150:540/udp/239.45.1.74:5140$上海市电信
风云音乐,http://123.60.75.150:540/udp/239.45.0.52:5140$上海市电信
风云足球,http://123.60.75.150:540/udp/239.45.0.43:5140$上海市电信
风云足球,http://123.60.75.150:540/udp/239.45.1.75:5140$上海市电信
风云剧场,http://123.60.75.150:540/udp/239.45.0.50:5140$上海市电信
怀旧剧场,http://123.60.75.150:540/udp/239.45.0.49:5140$上海市电信
第一剧场,http://123.60.75.150:540/udp/239.45.0.51:5140$上海市电信
女性时尚,http://123.60.75.150:540/udp/239.45.0.47:5140$上海市电信
世界地理,http://123.60.75.150:540/udp/239.45.0.46:5140$上海市电信
央视台球,http://123.60.75.150:540/udp/239.45.0.44:5140$上海市电信
高尔夫网球,http://123.60.75.150:540/udp/239.45.0.48:5140$上海市电信
